,missing,count,mean,std,min,1%,5%,50%,95%,99%,max
GPSSpeed_kn,0,43280.0,6.600001011277403,6.310829476520659,8.53e-05,0.00101622374,0.0019136788,7.0212755205,14.8105083955,15.1436491043,17.23671341
GPS_LAT,0,43280.0,56.326412090055925,2.7959154012765777,51.25292587,51.2530365,53.5958519,55.57753563,60.42819977,60.48838043,60.48849487
GPS_LON,0,43280.0,12.130425137828398,9.708193679464022,-0.255996674,-0.24943167,-0.249388337,10.6852932,26.92113113,26.95064735,26.97187424
TrueWindSpeed_kn,0,43280.0,5.0480781316520105,3.1172667715129814,0.0,0.396088004,0.94649601,4.434127808,10.62236023,12.022608305699995,14.69640827
TrueWindDirection_Deg,0,43280.0,185.1460720887246,128.81647308794348,0.0,1.0,7.0,191.0,351.0,358.0,359.0
RelWindSpeed_kn,0,43280.0,7.618415850061622,5.106480524554273,0.001486077,0.46001665865,1.1112610996,6.430835724,16.602268030999994,18.424128151599998,20.65598679
RelWindDirection_Deg,0,43280.0,78.83328919157371,115.93584366620544,-179.9047089,-165.054869839,-112.44913217499997,86.952774045,291.6002746399998,322.259294441,355.391449
Main_Engine_Power_kW,0,43280.0,1346.8075789087347,1322.0136707685988,-31.49999809,0.0,0.0,1035.0,3330.000244,3581.999756,4072.499756
DRAFTAFT,0,43280.0,5829.148608299999,1596.2177794178115,19.0,2861.57985848,3475.0,6616.0,7712.0,7977.0,8241.0
DRAFTFWD,0,43280.0,6850.1313747792965,921.5403566288971,-9999.0,5448.0,5575.0,7116.0,8019.000488,8085.0,8207.0
Speed_rpm,0,43280.0,372.5331561950554,311.3335795570868,0.0,0.0,0.0,517.0,719.0,720.0,728.0
Fuel_Consumption_t_per_day,0,43280.0,3.72119455926756,5.189004431325467,0.0,0.0,0.0,0.0,12.54696635,14.03585922,90.26895712
Avg_draft_m,0,43280.0,6.33963999153965,1.2243893142805289,-4.99,4.43229,4.688,6.92,7.849000244,7.9945,8.216
Trim_m,0,43280.0,-1.0209827664795057,0.8931846868105865,-5.138,-3.245,-2.641,-0.663,-0.071,0.02,10.138
